id,ip,lokasi,url,user_agent,created_at
39,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:36
40,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikRuanganAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:38
41,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikKendaraanAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:38
42,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/user/profile,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:40
43,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikRuanganAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:41
44,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikKendaraanAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:41
45,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:43
46,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikRuanganAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:44
47,10.107.3.48,"{""query"": ""10.107.3.48"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikKendaraanAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",2025-05-05 11:55:44
48,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:58
49,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:59
50,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/pengembalian,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:59
51,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/pengembalian-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:59
52,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:59
53,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman-barang-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:59
54,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikKendaraanAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:55:59
55,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikRuanganAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:00
56,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman-barang-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:00
57,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/pemeliharaan-rutin/get-kendaraan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:00
58,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:01
59,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:02
60,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman-barang-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:02
61,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/pengembalian,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:02
62,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/pengembalian-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:02
63,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:02
64,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikKendaraanAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:02
65,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/dashboard/chart/peminjaman-barang-bulanan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:03
66,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/admin/pemeliharaan-rutin/get-kendaraan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:03
67,10.107.3.42,"{""query"": ""10.107.3.42"", ""status"": ""fail"", ""message"": ""private range""}",http://manajemenaset.pu.go.id/mainpage/getStatistikRuanganAPI,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-05-05 11:56:03
